,bamid,approach_vertical,vertical_jump,3/4_court_sprint,4-way_agility,reaction_shuttle,bamscore,wingspan,reach,height,weight,body_comp,hand_length,hand_width
320,818.0,36.5,25.5,3.632,12.724,3.494,1862.0,84.25,106.5,79.0,207.1,13.2,8.5,8.5
321,620.0,31.829614604462474,25.860157016683022,3.409,12.68,3.50399999999999,1758.0,75.5,94.5,71.0,170.7,17.8,7.5,8.25
322,1492.0,35.0,30.0,3.281,11.95,3.631,1974.0,80.0,101.0,74.5,165.0,15.7,9.0,9.5
323,1257.0,31.0,26.0,3.386,11.805,3.373,1952.0,74.75,96.0,74.25,171.4,7.2,7.5,8.5
324,409.0,29.5,23.5,3.458,12.432,3.414,1857.0,80.0,104.0,77.0,212.0,23.9,8.5,9.5
325,833.0,29.5,24.5,3.199,12.001,3.668,1893.0,73.0,95.0,74.0,164.6,11.1,7.5,8.0
326,377.0,29.0,22.5,3.376,12.323,3.51899999999999,1851.0,73.5,95.5,74.5,164.0,7.0,7.0,7.5
327,957.0,28.0,25.0,3.261,12.247189108910884,3.332,1959.0,82.0,103.5,76.0,188.0,20.3,8.5,9.25
328,751.0,30.5,23.0,3.423,11.705,3.641,1873.0,74.0,93.0,71.0,149.2,7.1,8.0,8.0
329,753.0,33.5,26.5,3.605,12.492,3.772,1811.0,78.25,96.0,74.0,166.5,7.0,8.0,9.0
330,1163.0,23.0,26.0,3.557,12.138,3.586,1796.0,79.0,98.0,73.5,217.8,17.1,9.0,10.25
331,1449.0,27.5,23.0,3.424,12.9829999999999,3.578,2019.0,76.5,97.0,72.25,177.8,11.0,8.0,8.0
332,375.0,28.5,28.5,3.339,11.571,3.236,1994.0,73.0,93.0,70.5,150.0,11.8,8.0,7.5
333,843.0,27.5,23.5,3.702,12.247189108910884,3.873,1698.0,85.0,104.0,76.5,235.8,28.4,8.25,9.5
334,694.0,27.5,23.0,3.497,12.055,3.304,1868.0,74.5,96.5,72.5,181.0,9.6,7.75,8.25
335,828.0,39.0,30.5,3.47,12.104,3.369,2006.0,81.75,104.5,80.5,181.9,5.8,8.25,9.25
336,1507.0,30.5,24.0,3.516,13.132,3.566,1792.0,78.5,102.0,76.5,162.25,13.4,8.25,9.5
337,830.0,32.0,24.5,3.193,12.268,4.131,1785.0,79.5,102.0,74.5,161.25,11.1,8.25,8.25
338,906.0,31.0,23.0,4.03,12.148,3.573,1730.0,80.25,104.5,80.0,191.9,9.5,8.75,8.75
339,508.0,31.0,25.0,3.581,13.184,3.583,1779.0,77.5,101.0,76.0,189.0,15.7,8.5,10.0
340,380.0,30.5,24.0,3.463,11.615,3.174,2161.0,64.125,50.5,37.875,95.75,7.55,4.25,4.5
341,466.0,26.5,21.5,3.643,12.911,3.53899999999999,1720.0,81.5,104.0,79.0,226.0,15.0,8.25,8.5
342,461.0,31.0,24.0,3.549,11.119,3.248,1968.0,72.5,90.0,69.5,153.4,15.9,7.5,8.5
343,968.0,30.0,24.0,3.453,11.648,3.189,1951.0,77.5,97.5,72.0,191.0,23.0,8.25,9.5
344,1369.0,36.0,29.0,3.376,11.634,3.081,2072.0,76.5,95.5,73.0,168.0,8.45,7.75,8.5
345,498.0,32.5,26.0,3.522,13.056,3.385,1856.0,81.0,102.5,76.0,176.0,9.5,8.75,9.0
346,1141.0,37.0,32.5,3.528,13.08,3.601,1881.0,79.0,102.5,77.5,175.0,14.1,8.25,9.25
347,1182.0,30.0,26.0,3.379,12.197,3.259,1937.0,72.5,92.0,70.5,161.0,17.5,8.25,9.5
348,387.0,34.5,28.5,3.137,12.35,4.088,1855.0,72.25,92.5,70.5,144.5,8.3,7.5,7.5
349,237.0,32.0,16.5,3.301,13.814,3.53899999999999,1705.0,77.0,96.0,73.5,176.0,17.8,7.5,8.75
